State,Station name,Station ID,Post-merge station ID,Co-located station ID,Base duration,Source of data,Latitude,Longitude,Elevation (ft),Period of record
AL,TRAFFORD                 ,01-8285,01-8668,,1-hour,NCDC,33.8167,-86.7333,469,6/1948-2/1967
AL,TROY                     ,01-8323, ,,1-day,NCDC,31.8075,-85.9722,542,6/1908-9/2010
AL,TROY                     ,01-8323, ,,1-hour,NCDC,31.8075,-85.9722,542,6/1948-12/2010
AL,TROY                     ,01-8323, ,,15-min,NCDC,31.8075,-85.9722,542,3/1972-12/2010
AL,TUSCALOOSA ACFD          ,01-8380, ,,1-day,NCDC,33.2119,-87.6161,169,6/1948-10/2011
AL,TUSCALOOSA OLIVER DAM    ,01-8385, ,,1-day,NCDC,33.2097,-87.5936,152,2/1900-10/2011
AL,TUSCALOOSA OLIVER DAM    ,01-8385, ,,1-hour,NCDC,33.2097,-87.5936,152,1/1958-12/2010
AL,TUSCUMBIA                ,01-8391, ,,1-day,NCDC,34.7167,-87.7167,489,1/1892-2/1940
AL,TUSKEGEE                 ,01-8398,01-8403,,1-day,NCDC,32.4333,-85.7000,459,11/1899-6/1954
AL,TUSKEGEE 3 S             ,01-8403, ,,1-day,NCDC,32.3833,-85.6500,420,11/1899-10/1968
AL,UNION SPRINGS 9 S        ,01-8438, ,,1-day,NCDC,32.0142,-85.7464,440,5/1892-7/2011
AL,UNIONTOWN                ,01-8446, ,,1-day,NCDC,32.4717,-87.5211,257,7/1893-10/2011
AL,VALLEY HEAD              ,01-8469, ,,1-day,NCDC,34.5667,-85.6128,1062,1/1893-10/2011
AL,VERNON                   ,01-8517, ,,1-day,NCDC,33.7392,-88.1275,298,3/1938-10/2011
AL,VERNON                   ,01-8517, ,,1-hour,NCDC,33.7392,-88.1275,298,6/1948-12/2010
AL,WADLEY                   ,01-8605,01-8608,,1-day,NCDC,33.1167,-85.5667,675,2/1933-10/1992
AL,WADLEY NR 2              ,01-8608, ,,1-day,NCDC,33.1361,-85.5869,710,2/1933-10/2011
AL,WALLACE 2 E              ,01-8637, ,,1-day,NCDC,31.2097,-87.1789,205,5/1941-10/2011
AL,WALNUT GROVE             ,01-8648, ,,1-day,NCDC,34.0661,-86.3069,850,6/1941-10/2011
AL,WALNUT HILL 3 W          ,01-8653, ,,1-day,NCDC,32.7028,-85.8936,410,1/1925-10/2011
AL,WARRIOR                  ,01-8670, ,,1-hour,NCDC,33.7925,-86.8258,520,6/1948-12/2010
AL,WARRIOR                  ,01-8668,01-8670,,1-hour,NCDC,33.8167,-86.8167,541,3/1967-4/1972
AL,WARRIOR                  ,01-8670, ,,15-min,NCDC,33.7925,-86.8258,520,10/1972-12/2010
AL,WARRIOR L&D              ,01-8673, ,,1-day,NCDC,32.7744,-87.8306,110,5/1938-10/2011
AL,WARRIOR L&D              ,01-2742,01-8673,,1-day,NCDC,32.7833,-87.8333,112,5/1938-11/1957
AL,WARRIOR L&D              ,01-8673, ,,1-hour,NCDC,32.7744,-87.8306,110,6/1948-12/2010
AL,WARRIOR L&D              ,01-2742,01-8673,,1-hour,NCDC,32.7833,-87.8333,112,6/1948-12/1957
AL,WARRIOR L&D              ,01-8673, ,,15-min,NCDC,32.7744,-87.8306,110,5/1971-12/2010
AL,WATERLOO                 ,01-8686,22-4455,,1-day,NCDC,34.9167,-88.0667,459,7/1922-4/1975
AL,WEISS DAM                ,01-8755, ,,1-day,NCDC,34.1333,-85.8000,590,1/1900-10/2011
AL,WEST BLOCTON             ,01-8809, ,,1-day,NCDC,33.1194,-87.1239,500,3/1940-10/2011
AL,WETUMPKA                 ,01-8859, ,,1-day,NCDC,32.5906,-86.2103,257,1/1893-7/2011
AL,WHATLEY                  ,01-8867, ,,1-day,NCDC,31.6508,-87.7097,170,1/1940-9/2007
AL,WHITFIELD LOCK 3         ,01-8925,01-6334,,1-day,NCDC,32.2833,-88.0167,30,1/1932-12/1960
AL,WINFIELD 2 SW            ,01-8998, ,,1-day,NCDC,33.9111,-87.8475,468,4/1923-10/2011
AL,YATES HYDRO PLT          ,01-9103, ,,1-day,NCDC,32.5667,-85.9000,341,1/1892-1/1970
